inventory_id,relative_path,sha256,size_bytes,extension,detected_type,text_or_binary,tracked_status,ignored_status,symlink_target,classification,likely_role,review_level,audit_status,per_file_report,notes
F0001,.gitignore,eb154655b2dbbff2977bbd627126c84338f553da429720d464adf7e99dc52c26,270,,text,text,n/a (not a git repository),n/a,,configuration,,full,Audited — complete,project-audit/files/,
F0002,AGENTS.md,63a01156035245a7636fdf8c71cde7e1911307cb40146c10bd26f0556fe73efc,2552,.md,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/,
F0003,ALL_FILE_MANIFEST_0.7.11.json,f161c468173b9aa4723fdab00c58faaeadcaea06622cc9a475f7c5dfb4cfafa7,76391,.json,text,text,n/a (not a git repository),n/a,,configuration/data,,full,Audited — complete,project-audit/files/,
F0004,CHANGELOG.md,597d519caba43aeed63542c2a2d17a997a66ba71853c2bdb5ecfefdf1a80ffa9,1090,.md,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/,
F0005,CODE_AUDIT_REPORT.md,ca25d1fde3d553208388654f4d76c632c4abde5f6821b697dc72f5f7f0901fc8,15054,.md,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/,
F0006,DOCSTRING_AUDIT_0.7.11.json,c0124b290fcb4d7e156fc72521131c2979e81377d958098b2724054d909cf05c,40239,.json,text,text,n/a (not a git repository),n/a,,configuration/data,,full,Audited — complete,project-audit/files/,
F0007,DOCSTRING_AUDIT_0.7.11.md,0dcdaf72f5d81ee3b777718e153e0976de21bd130f5671c08644aa86fe57913f,478,.md,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/,
F0008,FEATURE_PARITY.md,c10e21eb65d93dfa195dcc4e47f82033ff94a32e7cecb72692a4c5686b287124,2411,.md,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/,
F0009,LICENSE,ac2e979d38c247879e05243433cf891e77f87f71cb39bc24f6efe81ac3e38df3,428,,text,text,n/a (not a git repository),n/a,,configuration,,full,Audited — complete,project-audit/files/,
F0010,MANIFEST.in,69db866c1421555409f490a901506cf31957aa7944eb920565f0602653783f22,835,.in,text,text,n/a (not a git repository),n/a,,configuration,,full,Audited — complete,project-audit/files/,
F0011,MANIFEST.sha256,977b0b4835bea7e1da973f0efbc2b963fa4c80ffd00c73486405c7bafa788ed2,46097,.sha256,text,text,n/a (not a git repository),n/a,,build or packaging (manifest),,full,Audited — complete,project-audit/files/,
F0012,Makefile,d034035386a8ab7bea1c7e4348d3608367b3ab890c0711a488d2bdbdb48806f7,1232,,text,text,n/a (not a git repository),n/a,,configuration,,full,Audited — complete,project-audit/files/,
F0013,PROJECT_MEMORY.md,c7b05ecb5a481d6d343bfa77201a2c3f8921f9771ab7c5e2398b068b374fbeb3,1828,.md,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/,
F0014,README.md,204dd469f382126691730b675d447b6420bb7e714fdb1216b193403b90d61a9a,4112,.md,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/,
F0015,RELEASE_VERIFICATION.json,d5ba5daefac49dab9dad17944b8c26bc7bc18643fb252e83cdb39607da27a592,1144,.json,text,text,n/a (not a git repository),n/a,,configuration/data,,full,Audited — complete,project-audit/files/,
F0016,RELEASE_VERIFICATION.md,7b5d1cf142bc4e78c9aa04bf5196ede0d9ec05e37e1844caf3fa3dcd82458d33,1721,.md,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/,
F0017,SECOND_AUDIT_FIX_REPORT_0.7.11.md,b26378c1d95878461f4abf0bee571baa430050f207ebfa2fa18b15a7ecf9c62c,5581,.md,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/,
F0018,SECOND_AUDIT_FIX_VERIFICATION_0.7.11.json,bb4a39f3ed205dcea8cb253c892d70f03f78f5f1a1008f7092920009d085afe5,4605,.json,text,text,n/a (not a git repository),n/a,,configuration/data,,full,Audited — complete,project-audit/files/,
F0019,SECURITY.md,c0ae20d07f307c75655e57b0bd95fe02cd01ba2fd5a7264ef4dd8ddb36ef66de,1085,.md,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/,
F0020,VERIFICATION.md,607bda4645c43606226fd12e12bbfd52939c382d207c5770c70776df1514f180,1606,.md,text,text,n/a (not a git repository),n/a,,documentation,,full,Audited — complete,project-audit/files/,
F0021,pyproject.toml,060a452b2c4356e1db1de87cb85995f8d3442e9e6670518e07b560d394cfd4c5,1515,.toml,text,text,n/a (not a git repository),n/a,,configuration,,full,Audited — complete,project-audit/files/,
F0022,setup.cfg,1c473cbaee8da5fc46e7f0158794af5cea4414c34a3cf3f180c2001f5e38bd3e,38,.cfg,text,text,n/a (not a git repository),n/a,,configuration,,full,Audited — complete,project-audit/files/,
F0023,x86decomp-test.json,0e8d5c302355cae3c618375f19cf815ddc4a894a686e1ccc7064df12b75b620c,4097,.json,text,text,n/a (not a git repository),n/a,,configuration/data,,full,Audited — complete,project-audit/files/,
F0024,.github/workflows/ci.yml,99a936711b46f589c3af298cb9f8be9a258646b0f56fd5aa530049c7338d6bb6,2906,.yml,text,text,n/a (not a git repository),n/a,,build or packaging (CI),,full,Audited — complete,project-audit/files/,
F0025,.pytest_cache/.gitignore,3ed731b65d06150c138e2dadb0be0697550888a6b47eb8c45ecc9adba8b8e9bd,37,,text,text,n/a (not a git repository),n/a,,cache or temporary artifact,,limited,Audited — generated file,project-audit/files/_group_dist_and_caches.md,
F0026,.pytest_cache/CACHEDIR.TAG,37dc88ef9a0abeddbe81053a6dd8fdfb13afb613045ea1eb4a5c815a74a3bde4,191,.tag,text,text,n/a (not a git repository),n/a,,cache or temporary artifact,,limited,Audited — generated file,project-audit/files/_group_dist_and_caches.md,
F0027,.pytest_cache/README.md,73fd6fccdd802c419a6b2d983d6c3173b7da97558ac4b589edec2dfe443db9ad,302,.md,text,text,n/a (not a git repository),n/a,,cache or temporary artifact,,limited,Audited — generated file,project-audit/files/_group_dist_and_caches.md,
F0028,.pytest_cache/v/cache/lastfailed,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,2,,text,text,n/a (not a git repository),n/a,,cache or temporary artifact,,limited,Audited — generated file,project-audit/files/_group_dist_and_caches.md,
F0029,.pytest_cache/v/cache/nodeids,e7ed524bf7de440aa3a5ea2f1f60299eb697f67e1574087fb38aff7d2e3fd83e,22673,,text,text,n/a (not a git repository),n/a,,cache or temporary artifact,,limited,Audited — generated file,project-audit/files/_group_dist_and_caches.md,
F0030,corpus/ground_truth_sources/aliasing.c,09a93c1038059384920be8ed617f196950b3b935fa4e7ecdcccd4b38215f222c,105,.c,text,text,n/a (not a git repository),n/a,,fixture or test data,,grouped,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0031,corpus/ground_truth_sources/arithmetic.c,1a39b20e36efc0d23c5570152a1db30922527835bfc82ddf4b629980c916326e,105,.c,text,text,n/a (not a git repository),n/a,,fixture or test data,,grouped,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0032,corpus/ground_truth_sources/bitfields.c,44c9a66d27e87a270af05fdb87d82d87512b70fe72600df0bc89f4e091b5a7dd,313,.c,text,text,n/a (not a git repository),n/a,,fixture or test data,,grouped,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0033,corpus/ground_truth_sources/branches.c,0dcc84cf6d38aa0a3e90a66bd349f349d504cd2dc0160db16933466c56aa99bb,125,.c,text,text,n/a (not a git repository),n/a,,fixture or test data,,grouped,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0034,corpus/ground_truth_sources/calling_conventions.c,cfb331698f9ccdb113849a7c535a500ee6631a46a716be1d3791e49f9c1e69b3,343,.c,text,text,n/a (not a git repository),n/a,,fixture or test data,,grouped,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0035,corpus/ground_truth_sources/classes.cpp,d04c86180d9424ea91914dc7b73d93b4b3da432d7a26d8d801ff9d5718701521,274,.cpp,text,text,n/a (not a git repository),n/a,,fixture or test data,,grouped,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0036,corpus/ground_truth_sources/eh_multiple.cpp,7b3cc0e687132f70957e55dbbaa5c479d6a4864fde0e11cb49df0c600d6f2665,471,.cpp,text,text,n/a (not a git repository),n/a,,fixture or test data,,grouped,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0037,corpus/ground_truth_sources/exceptions.cpp,fd15c6bd23f39262a9aa02f94f02210dacab53a2a5d358aae415bba2c329394e,156,.cpp,text,text,n/a (not a git repository),n/a,,fixture or test data,,grouped,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0038,corpus/ground_truth_sources/floating_point.c,ff00c63ae76817932bdd0b4a5b0a0c8bc661e03314889d1eef404e580279bb89,195,.c,text,text,n/a (not a git repository),n/a,,fixture or test data,,grouped,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0039,corpus/ground_truth_sources/globals.c,e4fbe6bc2a51161e651a23264f5de4e90d052b2e9efcbcea1c1ff76a748528c4,100,.c,text,text,n/a (not a git repository),n/a,,fixture or test data,,grouped,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0040,corpus/ground_truth_sources/indirect_calls.c,b9b6dc58d6912bf8a54c46868a5a61b321447c9826660dfb29f76f741b21b92e,204,.c,text,text,n/a (not a git repository),n/a,,fixture or test data,,grouped,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
F0041,corpus/ground_truth_sources/loops.c,d929c2eb356d9e45d27aa9a9e9929d1ce3fad324d8843d7e53e4dbe7dabe9262,242,.c,text,text,n/a (not a git repository),n/a,,fixture or test data,,grouped,Audited — complete,project-audit/files/_group_schemas_examples_corpus.md,
