inventory_id,relative_path,sha256,assigned_batch,review_started,review_completed,reviewer_status,read_completely,cross_references_checked,runtime_checked,tests_checked,documentation_checked,findings_count,open_questions,final_status
F0001,.github/workflows/ci.yml,fce06d638822e58fcc637f8e784c1d37f6cacf11bc38e0469628f8d98484f324,.github,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,2,See linked finding verification-needed fields,Audited — complete
F0002,.gitignore,58abf0edcb5db282fa19446770625c0d07ae4f5b650b8265df87cb2171bd2939,.gitignore,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0003,AGENTS.md,63a01156035245a7636fdf8c71cde7e1911307cb40146c10bd26f0556fe73efc,AGENTS.md,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0004,ALL_FILE_MANIFEST_0.7.11.json,8a46d1af9c76146324acc0557a5a129e3df380bee160e78d6b5e2f2a93215861,ALL_FILE_MANIFEST_0.7.11.json,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,1,See linked finding verification-needed fields,Audited — complete
F0005,AUDIT_READ_RECEIPT_0.7.11.json,51791e2447351e3e3f3b4bd83f1e3897c49871ec0483fc9023a05ea1b7758942,AUDIT_READ_RECEIPT_0.7.11.json,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0006,AUDIT_REMEDIATION_CHANGELOG.md,d04981aecdef6832064987fb59e4e33de95a7823ab3c5a9959c7a713b244d970,AUDIT_REMEDIATION_CHANGELOG.md,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0007,AUDIT_REMEDIATION_VERIFICATION_0.7.11.json,11b39e83f49adae84e3b67b0f0fd246f6edfd61cf84623dca683e556fe474804,AUDIT_REMEDIATION_VERIFICATION_0.7.11.json,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0008,CHANGELOG.md,597d519caba43aeed63542c2a2d17a997a66ba71853c2bdb5ecfefdf1a80ffa9,CHANGELOG.md,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0009,DOCSTRING_AUDIT_0.7.11.json,f57db971aec207989637aaa0e5a7f6e7cd11400f4a5cbdc849645d17cd5f4cd0,DOCSTRING_AUDIT_0.7.11.json,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,2,See linked finding verification-needed fields,Audited — complete
F0010,DOCSTRING_AUDIT_0.7.11.md,7f49e3d1d3652f420702f78f413d5987bb4c9c2db072a87c1c316775e6dc988f,DOCSTRING_AUDIT_0.7.11.md,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,2,See linked finding verification-needed fields,Audited — complete
F0011,FEATURE_PARITY.md,447bfddd505ccf26863b3668a84678a2e893c4e8358ef0949a9b67cdd115bb26,FEATURE_PARITY.md,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0012,FINAL_TEST_GROUP_REPORT_0.7.11.json,7b95d2afca5c49bf7fadd2195eb4f76826869330ed26907f213d71b398a5d33c,FINAL_TEST_GROUP_REPORT_0.7.11.json,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0013,FINAL_TEST_PARTITION_REPORT_0.7.11.json,3af53a95e608a01b2856d14261992fb26bcc51e0ae084fec59f7805fada8239b,FINAL_TEST_PARTITION_REPORT_0.7.11.json,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0014,LICENSE,ac2e979d38c247879e05243433cf891e77f87f71cb39bc24f6efe81ac3e38df3,LICENSE,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,1,See linked finding verification-needed fields,Audited — complete
F0015,MANIFEST.in,4bc205fb3ab09b8aff387f0e1235e0a39ff18ffb378ae8fa183de2da7c64683c,MANIFEST.in,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,1,See linked finding verification-needed fields,Audited — complete
F0016,MANIFEST.sha256,2da9767f2bb5c30e353aedf8f62d77a3d4435a76534ece8c22940a8a310999ff,MANIFEST.sha256,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,1,See linked finding verification-needed fields,Audited — complete
F0017,Makefile,b585d982da2553421ea04052fe55fc050daf87fd1d0033ae138b0361046e72d7,Makefile,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,2,See linked finding verification-needed fields,Audited — complete
F0018,PROJECT_MEMORY.md,3f0b2a725fb04f7250524ee62a4244ed1e869b2c86e259fcad033ee97a11aa39,PROJECT_MEMORY.md,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0019,README.md,cae63ef23a67fb184fd2c66f8f6dd54cf75d1dd0eaa7c2a4b5cd304c4a8b42af,README.md,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,3,See linked finding verification-needed fields,Audited — complete
F0020,RELEASE_VERIFICATION.json,018fc226ab3329be6be880ee07aac13e378bdae69c5efbaf5905d8da00530c29,RELEASE_VERIFICATION.json,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0021,RELEASE_VERIFICATION.md,8099240e354cc5643c7f9b18e743e96cc2e98073579fc1e8c5611065d0aaa558,RELEASE_VERIFICATION.md,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0022,SECURITY.md,a5b31ee02f32135441620fba57376eb81a1d0e8fbb0673fc4939096ba28ba369,SECURITY.md,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0023,VERIFICATION.md,a7198c375c2ece0a1e8be9ec6a5a1a206a0e0cb21f2d32256533d6324753efb3,VERIFICATION.md,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0024,corpus/ground_truth_sources/aliasing.c,09a93c1038059384920be8ed617f196950b3b935fa4e7ecdcccd4b38215f222c,corpus,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0025,corpus/ground_truth_sources/arithmetic.c,1a39b20e36efc0d23c5570152a1db30922527835bfc82ddf4b629980c916326e,corpus,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0026,corpus/ground_truth_sources/bitfields.c,44c9a66d27e87a270af05fdb87d82d87512b70fe72600df0bc89f4e091b5a7dd,corpus,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0027,corpus/ground_truth_sources/branches.c,0dcc84cf6d38aa0a3e90a66bd349f349d504cd2dc0160db16933466c56aa99bb,corpus,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0028,corpus/ground_truth_sources/calling_conventions.c,cfb331698f9ccdb113849a7c535a500ee6631a46a716be1d3791e49f9c1e69b3,corpus,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0029,corpus/ground_truth_sources/classes.cpp,d04c86180d9424ea91914dc7b73d93b4b3da432d7a26d8d801ff9d5718701521,corpus,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0030,corpus/ground_truth_sources/eh_multiple.cpp,7b3cc0e687132f70957e55dbbaa5c479d6a4864fde0e11cb49df0c600d6f2665,corpus,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0031,corpus/ground_truth_sources/exceptions.cpp,fd15c6bd23f39262a9aa02f94f02210dacab53a2a5d358aae415bba2c329394e,corpus,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0032,corpus/ground_truth_sources/floating_point.c,ff00c63ae76817932bdd0b4a5b0a0c8bc661e03314889d1eef404e580279bb89,corpus,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0033,corpus/ground_truth_sources/globals.c,e4fbe6bc2a51161e651a23264f5de4e90d052b2e9efcbcea1c1ff76a748528c4,corpus,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0034,corpus/ground_truth_sources/indirect_calls.c,b9b6dc58d6912bf8a54c46868a5a61b321447c9826660dfb29f76f741b21b92e,corpus,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0035,corpus/ground_truth_sources/loops.c,d929c2eb356d9e45d27aa9a9e9929d1ce3fad324d8843d7e53e4dbe7dabe9262,corpus,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0036,corpus/ground_truth_sources/member_pointers.cpp,8e84a7254ebeda7ec4db40335350606cf26227868e20be7db4f4382cdd3e9f69,corpus,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0037,corpus/ground_truth_sources/multiple_inheritance.cpp,2fc99918de8375a035774b6cff12866defb77d2095bf1a6005b6419c4afc4410,corpus,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0038,corpus/ground_truth_sources/static_initializers.cpp,5566d58941846d63fafa6e6047f5f0a70dd19ff484aea58f1eac88cfa1c3156c,corpus,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0039,corpus/ground_truth_sources/structs.c,0b29f69d01886989d3d34fb430acb259ca55c604b8b59c968e5d341972102280,corpus,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0040,corpus/ground_truth_sources/switch_dense.c,2a696a875c034a89e16a9b28359f6603942c536954321bc7403a9b780d24546f,corpus,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0041,corpus/ground_truth_sources/tail_calls.c,874edb70e2470cafdd6bed6a7a05519da95c926d1b0777622d1fba726194ddb3,corpus,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
F0042,corpus/ground_truth_sources/templates.cpp,cd18fc097a4bbbacacff6685edb8c5e6a0dfe7d8e27a68eb0b0febad6508194b,corpus,2026-07-10,2026-07-10,Completed,Yes,Yes,No executable file-specific test relationship applies or was established; repository-wide checks are recorded in RUN_LOG.md.,Not directly applicable,Yes,0,None specific,Audited — complete
