group,action,owner,mentioned_in_docs,example_in_code_block
abi,compare,reconstruction,False,False
abi,export,reconstruction,False,False
abi,recover,reconstruction,False,False
abi,shim,reconstruction,False,False
abi,show,reconstruction,False,False
abi,verify,reconstruction,False,False
asm,annotate,assembly,False,False
asm,batch,assembly,False,False
asm,list,assembly,False,False
asm,materialize,assembly,False,False
asm,report,assembly,False,False
asm,verify-roundtrip,assembly,False,False
asset,inventory,reconstruction,False,False
boundary,audit,native,False,False
boundary,audit-project,native,False,False
boundary,export-ghidra-fixes,native,False,False
boundary,list,native,False,False
boundary,show,native,False,False
build,add-target,reconstruction,False,False
build,add-variant,reconstruction,False,False
build,compare-modes,reconstruction,False,False
build,create,reconstruction,False,False
build,generate,reconstruction,False,False
build,matrix,reconstruction,False,False
build,show,reconstruction,False,False
build,validate,reconstruction,False,False
campaign,branch,governance,False,False
campaign,create,governance,False,False
campaign,list,governance,False,False
campaign,pause,governance,False,False
campaign,plan,governance,False,False
campaign,resume,governance,False,False
campaign,snapshot,governance,False,False
campaign,start,governance,False,False
campaign,status,governance,False,False
campaign,stop,governance,False,False
candidate,add-file,governance,False,False
candidate,compare,governance,False,False
candidate,create,governance,False,False
candidate,evaluate,governance,False,False
candidate,list,governance,False,False
candidate,promote,reconstruction,False,False
candidate,search,reconstruction,False,False
candidate,show,governance,False,False
candidate,transition,governance,False,False
capsule,create,reconstruction,False,False
capsule,inspect,reconstruction,False,False
capsule,reproduce,reconstruction,False,False
capsule,verify,reconstruction,False,False
changeset,add-operation,reconstruction,False,False
changeset,apply,governance,False,False
changeset,conflicts,reconstruction,False,False
changeset,create,reconstruction,False,False
changeset,export,governance,False,False
changeset,inspect,governance,False,False
changeset,merge,reconstruction,False,False
changeset,rebase,reconstruction,False,False
changeset,show,reconstruction,False,False
changeset,verify,reconstruction,False,False
class,scaffold,reconstruction,False,False
compiler-rules,compare-flags,reconstruction,False,False
compiler-rules,learn-rule,reconstruction,False,False
compiler-rules,rule-report,reconstruction,False,False
consensus,conflicts,governance,False,False
consensus,explain,governance,False,False
consensus,record,governance,False,False
consensus,resolve,governance,False,False
consensus,scan,governance,False,False
counterexample,add,governance,False,False
counterexample,list,governance,False,False
counterexample,promote,governance,False,False
counterexample,show,governance,False,False
decompiler,cleanup,reconstruction,False,False
diff,explain,reconstruction,False,False
family,add,governance,False,False
family,correlate,governance,False,False
family,create,governance,False,False
family,report,governance,False,False
function,classify,reconstruction,False,False
function,discover,reconstruction,False,False
function,reconcile,reconstruction,False,False
function,sort,reconstruction,False,False
game-pattern,state-machine,reconstruction,False,False
ghidra-mcp,batch-decompile,reconstruction,False,False
