command,name,help,description,arguments_json,has_help,has_description,mentioned_in_docs,example_in_code_block,safety_flags
abi,abi,canonical abi capability commands,Canonical abi commands implemented by the current capability subsystem.,"[{""choices"": null, ""default"": ""."", ""dest"": ""project"", ""help"": ""project root used by the capability implementation (default: current directory)"", ""nargs"": null, ""option_strings"": [""--project""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": ""analyst"", ""dest"": ""actor"", ""help"": null, ""nargs"": null, ""option_strings"": [""--actor""], ""required"": false, ""type"": null}]",True,True,False,False,[]
abi compare,compare,compare command,,"[{""choices"": null, ""default"": null, ""dest"": ""left_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""right_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}]",True,False,False,False,[]
abi export,export,export command,,"[{""choices"": null, ""default"": null, ""dest"": ""contract_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""output"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}]",True,False,False,False,[]
abi recover,recover,recover command,,"[{""choices"": null, ""default"": null, ""dest"": ""subject_kind"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""subject_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""architecture"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""contract_json"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""evidence_json"", ""help"": null, ""nargs"": null, ""option_strings"": [""--evidence-json""], ""required"": true, ""type"": null}]",True,False,False,False,[]
abi shim,shim,shim command,,"[{""choices"": null, ""default"": null, ""dest"": ""contract_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""source_path"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": ""wrapped"", ""dest"": ""kind"", ""help"": null, ""nargs"": null, ""option_strings"": [""--kind""], ""required"": false, ""type"": null}]",True,False,False,False,[]
abi show,show,show command,,"[{""choices"": null, ""default"": null, ""dest"": ""contract_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}]",True,False,False,False,[]
abi verify,verify,verify command,,"[{""choices"": null, ""default"": null, ""dest"": ""contract_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}]",True,False,False,False,[]
abi-check,abi-check,validate observed behavior against an ABI contract,,"[{""choices"": null, ""default"": null, ""dest"": ""code"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": null, ""dest"": ""contract"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": 0, ""dest"": ""base"", ""help"": null, ""nargs"": null, ""option_strings"": [""--base""], ""required"": false, ""type"": ""_int""}, {""choices"": null, ""default"": null, ""dest"": ""report"", ""help"": null, ""nargs"": null, ""option_strings"": [""--report""], ""required"": false, ""type"": ""_path""}]",True,False,False,False,[]
angr-validate,angr-validate,compare binary functions with the optional angr backend,,"[{""choices"": null, ""default"": null, ""dest"": ""target"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": null, ""dest"": ""candidate"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": [""x86"", ""x86_64""], ""default"": ""x86"", ""dest"": ""architecture"", ""help"": null, ""nargs"": null, ""option_strings"": [""--architecture""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": [], ""dest"": ""input_register"", ""help"": null, ""nargs"": null, ""option_strings"": [""--input-register""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": 0, ""dest"": ""stack_argument_words"", ""help"": null, ""nargs"": null, ""option_strings"": [""--stack-argument-words""], ""required"": false, ""type"": ""int""}, {""choices"": null, ""default"": null, ""dest"": ""output_register"", ""help"": null, ""nargs"": null, ""option_strings"": [""--output-register""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": 1000, ""dest"": ""max_steps"", ""help"": null, ""nargs"": null, ""option_strings"": [""--max-steps""], ""required"": false, ""type"": ""int""}, {""choices"": null, ""default"": 64, ""dest"": ""max_paths"", ""help"": null, ""nargs"": null, ""option_strings"": [""--max-paths""], ""required"": false, ""type"": ""int""}, {""choices"": null, ""default"": null, ""dest"": ""report"", ""help"": null, ""nargs"": null, ""option_strings"": [""--report""], ""required"": false, ""type"": ""_path""}]",True,False,False,False,[]
artifact-import,artifact-import,import a validated exported function artifact,,"[{""choices"": null, ""default"": null, ""dest"": ""project"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": null, ""dest"": ""exported_dir"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}]",True,False,False,False,[]
artifact-verify,artifact-verify,verify an exported function artifact and its hashes,,"[{""choices"": null, ""default"": null, ""dest"": ""artifact_dir"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}]",True,False,False,False,[]
asm,asm,canonical asm capability commands,Canonical asm commands implemented by the current capability subsystem.,"[{""choices"": null, ""default"": ""."", ""dest"": ""project"", ""help"": ""project root used by the capability implementation (default: current directory)"", ""nargs"": null, ""option_strings"": [""--project""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": ""analyst"", ""dest"": ""actor"", ""help"": null, ""nargs"": null, ""option_strings"": [""--actor""], ""required"": false, ""type"": null}]",True,True,True,False,[]
